Rank,SPI,OP,,Weight,"Rate(3,2)",Rate(1)
145,-0.64,24.32885906,0.243288591,,,
146,-0.63,24.4966443,0.244966443,,,
147,-0.61,24.66442953,0.246644295,,,
148,-0.6,24.83221477,0.248322148,,,
149,-0.57,25,0.25,,,
150,-0.57,25.16778523,0.251677852,,,
151,-0.57,25.33557047,0.253355705,,,
152,-0.57,25.5033557,0.255033557,,,
153,-0.55,25.67114094,0.256711409,,,
154,-0.54,25.83892617,0.258389262,,,
155,-0.54,26.00671141,0.260067114,,,
156,-0.53,26.17449664,0.261744966,,,
157,-0.53,26.34228188,0.263422819,,,
158,-0.53,26.51006711,0.265100671,,,
159,-0.53,26.67785235,0.266778523,,,
160,-0.52,26.84563758,0.268456376,,,
161,-0.51,27.01342282,0.270134228,,,
162,-0.51,27.18120805,0.271812081,,,
163,-0.51,27.34899329,0.273489933,,,
164,-0.5,27.51677852,0.275167785,,,
165,-0.5,27.68456376,0.276845638,,,
166,-0.5,27.85234899,0.27852349,,,
167,-0.49,28.02013423,0.280201342,,,
168,-0.49,28.18791946,0.281879195,,,
169,-0.49,28.3557047,0.283557047,,,
170,-0.48,28.52348993,0.285234899,,,
171,-0.48,28.69127517,0.286912752,,,
172,-0.47,28.8590604,0.288590604,,,
173,-0.47,29.02684564,0.290268456,,,
174,-0.47,29.19463087,0.291946309,,,
175,-0.46,29.36241611,0.293624161,,,
176,-0.45,29.53020134,0.295302013,,,
177,-0.44,29.69798658,0.296979866,,,
178,-0.44,29.86577181,0.298657718,,,
179,-0.43,30.03355705,0.30033557,,,
180,-0.43,30.20134228,0.302013423,,,
181,-0.42,30.36912752,0.303691275,,,
182,-0.42,30.53691275,0.305369128,,,
183,-0.42,30.70469799,0.30704698,,,
184,-0.41,30.87248322,0.308724832,,,
185,-0.4,31.04026846,0.310402685,,,
186,-0.38,31.20805369,0.312080537,,,
187,-0.38,31.37583893,0.313758389,,,
188,-0.38,31.54362416,0.315436242,,,
189,-0.37,31.7114094,0.317114094,,,
190,-0.36,31.87919463,0.318791946,,,
191,-0.36,32.04697987,0.320469799,,,
192,-0.35,32.2147651,0.322147651,,,
193,-0.35,32.38255034,0.323825503,,,
194,-0.34,32.55033557,0.325503356,,,
195,-0.34,32.71812081,0.327181208,,,
196,-0.33,32.88590604,0.32885906,,,
197,-0.33,33.05369128,0.330536913,,,
198,-0.33,33.22147651,0.332214765,,,
199,-0.31,33.38926174,0.333892617,,,
200,-0.3,33.55704698,0.33557047,,,
201,-0.29,33.72483221,0.337248322,,,
202,-0.29,33.89261745,0.338926174,,,
203,-0.29,34.06040268,0.340604027,,,
204,-0.27,34.22818792,0.342281879,,,
205,-0.27,34.39597315,0.343959732,,,
206,-0.27,34.56375839,0.345637584,,,
207,-0.26,34.73154362,0.347315436,,,
208,-0.25,34.89932886,0.348993289,,,
209,-0.25,35.06711409,0.350671141,,,
210,-0.24,35.23489933,0.352348993,,,
211,-0.24,35.40268456,0.354026846,,,
212,-0.23,35.5704698,0.355704698,,,
213,-0.23,35.73825503,0.35738255,,,
214,-0.23,35.90604027,0.359060403,,,
215,-0.23,36.0738255,0.360738255,,,
216,-0.22,36.24161074,0.362416107,,,
217,-0.22,36.40939597,0.36409396,,,
218,-0.22,36.57718121,0.365771812,,,
219,-0.22,36.74496644,0.367449664,,,
220,-0.22,36.91275168,0.369127517,,,
221,-0.22,37.08053691,0.370805369,,,
222,-0.21,37.24832215,0.372483221,,,
223,-0.21,37.41610738,0.374161074,,,
